文章标识符aid,标题title,链接url,时间time,公众号名称
2650699991_1,【最新政策】好消息！2022年7月份增值税留抵退税申请时间延长了,https://mp.weixin.qq.com/s/BnAyZYj9vNz_i42a2rC83Q,2022/7/14,闵行发展改革
2650688277_1,国货美妆反超欧美巨头，上海军团最拔尖！靠三张“王炸”霸榜还C位出海,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688277&idx=1&sn=e63436c50a9f59faa680ad9eddb075b1&chksm=be480f83893f86957ae79c090021875e167aa25c77aa918f4e2c0a0bad829031267e195feffa#rd,2025/9/23,上海经信委
2650688277_2,关于遴选2025年网络和数据安全支撑单位的通知,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688277&idx=2&sn=d8f7a43318af9cad842a2378d879d91d&chksm=be480f83893f86953fb51f5f0dbbd409f5d0da18ecbc9507d7f5eeddb6d3cb2301c55ad091bd#rd,2025/9/23,上海经信委
2650688275_1,智能“思考”，绿色制造：2025工博会探营，看见工业未来式,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688275&idx=1&sn=1b68fd5e9ea4cd934ae02bca7bd6d6fd&chksm=be480f85893f8693c317a769bbd9bc5a82f42e466631305a23521467cecd40217bf25c6ee2db#rd,2025/9/23,上海经信委
2650688255_1,在这里，你能感知全球工业的脉动——中国国际工业博览会今开幕，提前来探营,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688255&idx=1&sn=9654efc5750261e413e3bb627ff2e06b&chksm=be480e69893f877f075e7b84a46562bf3b0284324dd097ef8f660626e83cb45a6df22005aba4#rd,2025/9/23,上海经信委
2650688250_1,解码零碳园区“上海方案”，四大板块、四大亮点呈现全球绿色工业新图景 | 中国工博会,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688250&idx=1&sn=b3b11fdbf179282ed791e70f4a6b3d66&chksm=be480e6c893f877a802300d4e32fd06acc11ee4c674fd677a21b2f0db51682062d18d4a8b6bf#rd,2025/9/22,上海经信委
2650688250_2,倒计时3天｜2025世界设计之都大会,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688250&idx=2&sn=e36869c2a8acbef8d95551dfd94e5716&chksm=be480e6c893f877afbd275e4f2cd8c1b5c686fd7f0f7daca40c79d83f500983512a178e0871e#rd,2025/9/22,上海经信委
2650688250_3,“2025年中国制造宣传周”正式启动,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688250&idx=3&sn=40271be6065c0ee3586abca70d52ec86&chksm=be480e6c893f877ad8b46ff6623d65617217c3215e814de79d673cb0165bb6a44b4d3cb8fc97#rd,2025/9/22,上海经信委
2650688219_1,国家新型工业化暨“十四五”工业重大成就展亮点前瞻③︱中国工博会,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688219&idx=1&sn=eb922a9eb14777f82eb56912703bd4c0&chksm=be480e4d893f875b28a36420775f5c26abf394c7e5d55de78b1564e1b3c0144247fbb3492a3f#rd,2025/9/22,上海经信委
2650688219_2,国家新型工业化暨“十四五”工业重大成就展亮点前瞻④︱中国工博会,http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650688219&idx=2&sn=069932101aaf3b6f0586172b2ff0ca08&chksm=be480e4d893f875b908768d568b904374e055d3a11132514bb0c49f64db2510b1dddda59b220#rd,2025/9/22,上海经信委
