文章标识符aid,标题title,链接url,时间time,公众号名称
"2247516427_1","关于组织申报2025年度市级、国家级绿色制造单位推荐工作的通知","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516427&idx=1&sn=adddb81ed64111a56636ba1d17fed346&chksm=c2a0b9ecf5d730fa8f9b9701faef15bd7dbcd51172c7e2ad015aae66619d9b7d668312e955eb#rd","2025-10-13","津北商务"
"2247516415_1","我爱你 中国！","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516415&idx=1&sn=ad61f6e2dce7371f86ad0ebf0f7327db&chksm=c2a0b818f5d7310e87b7d64fae555ac608a4f507b5be992a07e47ba29d839b1dab8dc3e448f6#rd","2025-10-01","津北商务"
"2247516415_2","国庆中秋“超级黄金周”，我区消费市场“热潮涌动”","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516415&idx=2&sn=44b2787d5406e4e276a1e815d0eaeaa4&chksm=c2a0b818f5d7310ef51afc0fab629f55ab3a1ed83792772b86b5e1a7d8a077a80177d8974a54#rd","2025-10-01","津北商务"
"2247516415_3","温馨提示（2025汽车报废更新10月份）","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516415&idx=3&sn=c902b386de830abe58e8863b24677676&chksm=c2a0b818f5d7310ee9b34f089906c291b5224b8c80ad0046b44f86f79dc1582d76a6e2e35b49#rd","2025-10-01","津北商务"
"2247516401_1","财政部 商务部关于开展消费新业态新模式新场景试点工作的通知","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516401&idx=1&sn=9763f2048a903829eb4ac803b4f4166c&chksm=c2a0b816f5d731003623ba212b2370c5ea9c1b94036bcbdda730cee9210c10c3cfa2228faab7#rd","2025-09-30","津北商务"
"2247516397_1","中共中央政治局召开会议 讨论拟提请二十届四中全会审议的文件 中共中央总书记习近平主持会议","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516397&idx=1&sn=52e27faedfea9a363d19edcdade2a67b&chksm=c2a0b80af5d7311c8102b4b906d48f95a8b59255efbc916d416c640aa3aa913fcaea77162d4d#rd","2025-09-29","津北商务"
"2247516397_2","区纪委监委印发《关于锲而不舍落实中央八项规定精神 做好国庆中秋期间正风肃纪工作的通知》","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516397&idx=2&sn=5a139598d82f1991b2b2c419fafc49b6&chksm=c2a0b80af5d7311c3edc9ffc6728911afc3ff6947f5458f0c6f9610085863712a2da6e661565#rd","2025-09-29","津北商务"
"2247516397_3","放假前，这份“保密提醒”和节日祝福一样重要！","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516397&idx=3&sn=b93683be0226e8fd4e1b2b0600780f08&chksm=c2a0b80af5d7311ca13780bdff2992fecaee798d28aeaedb5796da2442dca27493f1145f3999#rd","2025-09-29","津北商务"
"2247516387_1","2025 天津米其林食遇美食节活动和“乐享美食·寻味上合”美食嘉年华启幕市集活动在意风区联动举办","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516387&idx=1&sn=7e7b6721a349e7e34d01b8764c629445&chksm=c2a0b804f5d731126860048d92192e2143e70dffcc89083aa56de9ffb4deea82c7273a10b2f8#rd","2025-09-23","津北商务"
"2247516380_1","关于诚邀企业和机构参加第八届中国国际进口博览会的通知","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516380&idx=1&sn=5ff6df640dd854862f02cad53c17c76e&chksm=c2a0b83bf5d7312dafb40da57b2323886ff1b9aa237e21df9725715dede4e50c96320d9b3303#rd","2025-09-22","津北商务"
"2247516376_1","百年米其林与意风区的浪漫相约——2025天津米其林食遇美食节即将璀璨启幕","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516376&idx=1&sn=2007f21fad986b718ef3093c2fed986e&chksm=c2a0b83ff5d731297dda139a302f77e3d3b02b0d6dd4a743f8477f4a9547e776f41103b8d041#rd","2025-09-19","津北商务"
"2247516376_2","“乐享美食·寻味上合”美食嘉年华盛大启幕 ——乘上合东风 品世界风味 享津城盛宴","http://mp.weixin.qq.com/s?__biz=MzkzNjE5NDQ0MA==&mid=2247516376&idx=2&sn=756cce7a5e78e8a59bb560576296e18b&chksm=c2a0b83ff5d731292eb2b559a6d7b21bec29d4c119cbddc1376e127005cdff8f19d181fd87d0#rd","2025-09-19","津北商务"
