文章标识符aid,标题title,链接url,时间time,公众号名称
"2247685153_1","“何以敦煌·念念回响”公益展开幕，莫高窟早中晚期经典一次看齐","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247685153&idx=1&sn=1cb23798d38d4f00077aafbf813b7b35&chksm=e81603ebdf618afdab9051fb1b86da99390fa1bb7c315508d6fe44ede3495bc8d017bd4e3b84#rd","2025-10-23","长宁文旅中心"
"2247685153_2","青年美育报名｜长图邀您一起解锁非遗蜡染、传统纸鸢美育活动～","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247685153&idx=2&sn=527bbe6402e0bc16978d7bf611d81270&chksm=e81603ebdf618afddfc20c8b60d4190ac1c9025907ad0b653aa54d17885c10b23538f10490e5#rd","2025-10-23","长宁文旅中心"
"2247685153_3","【便民】上海动物园进博会期间对持证人员提供门票八折优惠","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247685153&idx=3&sn=37e01f840006ec3012a0ec4f754ea7fe&chksm=e81603ebdf618afdb56140665c534da37cd1cab1ee5f8e7a2ccef126b527a0272ccc59dddf83#rd","2025-10-23","长宁文旅中心"
"2247685020_1","最虹桥  XIN遇见 | 音乐快闪秀、巴士微旅行...初秋就该这样过~","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247685020&idx=1&sn=220054c4990c73dc7a40de9483ab15b7&chksm=e8160456df618d405847cce2670cc0f83fa43eb267a05cf5e81eb970a18e7948d518d9f33c92#rd","2025-10-22","长宁文旅中心"
"2247685020_2","旅游打卡 | 全国首展登陆虹桥南丰城，怪可爱的！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247685020&idx=2&sn=d42cc147dc2a18716716290d613a9056&chksm=e8160456df618d40ff54e758abffb4cc762eac7e010693e84429e742beea73f68d47f7fe27d0#rd","2025-10-22","长宁文旅中心"
"2247685020_3","展览进行时 | 水彩再现——上海·新加坡当代水彩艺术交流展","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247685020&idx=3&sn=c77ff437ca3a306b68a2df6d96b89e98&chksm=e8160456df618d40a69f84d7bccb0c1060927cd8a67442113b6a014871946287a4ec09caa631#rd","2025-10-22","长宁文旅中心"
"2247684493_1","小主人 欢乐游 | 【报名】悦享秋日徒步微旅行","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684493&idx=1&sn=d0cb5a26b986899645ffd3b4790f7392&chksm=e8160647df618f51493cc63ec2fd771f6e32a488bb199d1e5c18ce9b0dbcc47b2410b5184311#rd","2025-10-21","长宁文旅中心"
"2247684493_2","虹桥草地音乐节还藏着这些“小惊喜”→","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684493&idx=2&sn=bbd4ebe72076d95145e565a54a7e8bd6&chksm=e8160647df618f51317f48b3f99bfd744991c2b964f233fafbf0df38eabc864d241730a4771c#rd","2025-10-21","长宁文旅中心"
"2247684493_3","百余件非洲雕刻精品在长宁这里展出→","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684493&idx=3&sn=2c99f13b476c5d77eee2478e6abd3e29&chksm=e8160647df618f512354ec78bc52a867a923af65543d82c3a502c8b6b97f4c7357f85f4298b2#rd","2025-10-21","长宁文旅中心"
"2247684378_1","上海市长宁区文旅局赴新疆维吾尔自治区克拉玛依市开展“春雨工程”文化和旅游志愿服务","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684378&idx=1&sn=9819e81be02f86eeccd702ff19685c6b&chksm=e81606d0df618fc683410d2eafaeb756b7fbd8bdb2a9eb9de98cdf796d74cb5b15680b944204#rd","2025-10-20","长宁文旅中心"
"2247684378_2","【长宁非遗】版权登记专场服务：为传统非遗撑起坚实保护伞","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684378&idx=2&sn=34d2535f7d941952daf289c0fafe60e4&chksm=e81606d0df618fc6eb2119954d4d2ffbde08ae39e3aaadd5dc2306b1ae34b3f190c3ed78ee47#rd","2025-10-20","长宁文旅中心"
"2247684378_3","秋味上新！快来长宁这些地方“贴秋膘”～","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684378&idx=3&sn=1caa3415520df7e267391e55145d0c5e&chksm=e81606d0df618fc635c69045f6088442beaeda9000a0c3f0e92e1456c990a8310ca501e2c3e4#rd","2025-10-20","长宁文旅中心"
"2247684019_1","活动预告｜2025年第十一届上海街艺节暨“街艺流动剧场”长宁演出专场","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684019&idx=1&sn=4b91e5a9574c55adaf48babb48a5ccd0&chksm=e8161879df61916fc9e2e2e914073e9d53c0447c41dc0ed85bc33e301e6693a57abffff5457d#rd","2025-10-18","长宁文旅中心"
"2247684019_2","旅游打卡｜串联愚园路、武夷路、新华路！长宁这条“美食一条街”好吃又好逛～","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247684019&idx=2&sn=7ab42d5ddd48549db9a97beffb0971bc&chksm=e8161879df61916f876b8e6111a990aa03bc2572e449f0cece7de41cc8e028c9fdb663659602#rd","2025-10-18","长宁文旅中心"
"2247683893_1","文旅新展！孙科别墅里藏着“时光胶囊”，免费预约一起“邂逅邬达克”","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683893&idx=1&sn=2974c062f4a5fb2b863a36368352aac8&chksm=e81618ffdf6191e9e46d6fd7987cd0e7378aa18943e95a751b21e6859a115ef4ee7701c0b81b#rd","2025-10-17","长宁文旅中心"
"2247683893_2","旅游打卡 | 武夷路秋日新玩法来啦！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683893&idx=2&sn=f13ad1b40c5de8dd65f42575f05ebf47&chksm=e81618ffdf6191e92e31ab6fb329ab791675df19ddfb6d029383dd142628ab1bd8111aa04640#rd","2025-10-17","长宁文旅中心"
"2247683893_3","立减150，周六截止｜阿根廷国宝舞团跨年登台，探戈舞剧《魅影暗舞》年末上演！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683893&idx=3&sn=fd81c2405b22eb8a9cdbdfe4c800e37b&chksm=e81618ffdf6191e93b0da82382014650732201a3a1a169010722601ede928f7b81fba97bffac#rd","2025-10-17","长宁文旅中心"
"2247683423_1","收藏！长宁骑行宝藏路线，一步一景！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683423&idx=1&sn=dc70b1a1ac35ce39a3521f3a2a43b0a3&chksm=e8161a95df619383baa05aace9275cb9641fc41bd86281332d2cfd984cff7bfcc4d1c80bb5d2#rd","2025-10-16","长宁文旅中心"
"2247683423_2","【长宁非遗】“非·长”传习工坊——来学习将传统“月份牌”绘制在帆布包上，实用又美观！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683423&idx=2&sn=9e97eb739593f7347a505d4339dd1cb2&chksm=e8161a95df619383ffe401f95e99031b21998e3fc643088b4961ba6272940cd5ca0fd4dea1e2#rd","2025-10-16","长宁文旅中心"
"2247683423_3","活动攻略 | 本周末，去上海动物园来一场玩具总动“猿”！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683423&idx=3&sn=bc430f31d49fa79648baa75e3cd2f0e7&chksm=e8161a95df619383d35d5e5c59039415b7dd4e807cd6f066118b9e8447ef35ae0c14c66d07d1#rd","2025-10-16","长宁文旅中心"
"2247683062_1","直播预告｜听一场美术馆里的音乐会，踏上钢琴家丹尼尔·埃斯彭的“音画之旅”","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683062&idx=1&sn=a95e9fee8f48619f6f221781d0f20d0d&chksm=e8161c3cdf61952affd90f32707d8fc3200819f2930ff7a6ef6fe22885d792b6b295c5009304#rd","2025-10-15","长宁文旅中心"
"2247683062_2","旅游打卡｜这个浓缩了中国花鸟美学史的大展在长宁开幕→","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683062&idx=2&sn=05ae7f41bc203f1b1d866ae2a6d64e10&chksm=e8161c3cdf61952ac99b86545cecc404dcc73954002213a57a3b2251f6cd375882275df2de3c#rd","2025-10-15","长宁文旅中心"
"2247683062_3","江苏路上这座小楼有这么多故事，你去过吗？","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247683062&idx=3&sn=28180f733b5ee68b7276a649e295e6f2&chksm=e8161c3cdf61952a8a3dc01d1c471461109060c52b534ce5d7014bf1116c8eb95967bbf2643b#rd","2025-10-15","长宁文旅中心"
"2247682892_1","导航成功！欢迎进入长宁“二次元副本”！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682892&idx=1&sn=5e7193644caca4e462262ac9c59ec2e0&chksm=e8161c86df6195905da92d471689d9fbc9077f7abca258288368a17b0e5712be1456fef54959#rd","2025-10-14","长宁文旅中心"
"2247682892_2","来新华路，邂逅不一样的美景和美食～","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682892&idx=2&sn=1bf750b44bccde3af994f75368b95f5b&chksm=e8161c86df61959088d852dbfd13d483d4a379908d9f79ae0c896d7630720ad0afe21684a69b#rd","2025-10-14","长宁文旅中心"
"2247682892_3","新展亮相！去哈密路看展吧~","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682892&idx=3&sn=b95d9c30fa1a1fbe7199c4509369fe41&chksm=e8161c86df619590fd6052fae7626433a278621b9acef3f8dc25ff135c92dd48cc037679c575#rd","2025-10-14","长宁文旅中心"
"2247682622_1","【曼舞长宁】文化惠民、燃动商圈！2025上海市民文化节市民舞蹈大赛展演圆满落幕","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682622&idx=1&sn=f416fa79e4f396adbbd574095043c241&chksm=e8161df4df6194e2a0c54b1355dc7e973bc7e6fd84be0b42a43538dcaa2a5ac7704bf8c29d2d#rd","2025-10-13","长宁文旅中心"
"2247682622_2","打卡集拼图，赢限定好礼！这场快闪活动亮相愚园路故事商店~","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682622&idx=2&sn=599c5700fdfcc44e20c10a46c5a9d361&chksm=e8161df4df6194e204b1bb4ea3d2adff0e1a55c3594e2abcfa1a1c55807e3e1a2f8da0c56247#rd","2025-10-13","长宁文旅中心"
"2247682622_3","金秋十月，在上海看大展！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682622&idx=3&sn=864ea5521d07d117a7982fa3132181d5&chksm=e8161df4df6194e293fc6000cfa093430360918b4c91e5de99857191305bebecb1a0d7c59dcd#rd","2025-10-13","长宁文旅中心"
"2247682344_1","【曼舞长宁】期待值拉满！2025市民舞蹈大赛展演精彩来袭！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682344&idx=1&sn=0972ac8245f5554be8805ebce5e3f2ea&chksm=e8161ee2df6197f41ba2557a56a3037bd61e01c80ce78e1907452a0f454849deb205bb497592#rd","2025-10-12","长宁文旅中心"
"2247682344_2","“何以敦煌”再现上海，免费预约通道现已开启！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682344&idx=2&sn=ff281466f8bf0dadb4b9e7b968bb4415&chksm=e8161ee2df6197f493c8446011421c9ca0cc72793de834b4bbd06e4d96c9e3a570f54bf95e79#rd","2025-10-12","长宁文旅中心"
"2247682316_1","活力虹桥艺术商圈系列活动，超多福利等你解锁！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682316&idx=1&sn=43bae310ae07bd0ff42ce34881a5ae55&chksm=e8161ec6df6197d01d33a42539848e0e7911391baf00bbaa35b81f01c5b4004dc93db3c0af8c#rd","2025-10-11","长宁文旅中心"
"2247682316_2","@读者朋友们，巡游长图打卡集章活动兑奖即将开启！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682316&idx=2&sn=c3fd1e2fd9801c7d9f780bef0246d00d&chksm=e8161ec6df6197d035ffac33de323f814d5db0d2c4084d28741780718f648178c9dc295fff3c#rd","2025-10-11","长宁文旅中心"
"2247682316_3","上海动物园中型猛兽展区启动改建，孟加拉虎“红糖”搬家ing！","http://mp.weixin.qq.com/s?__biz=MzIyMzY5MTQyOQ==&mid=2247682316&idx=3&sn=ee137d993f293caa745a0a6eed102f49&chksm=e8161ec6df6197d0e0c2f76a22af4131b2eb3f8f1f45ba1f39ba791789ed585eca4753fc362e#rd","2025-10-11","长宁文旅中心"
