文章标识符aid,标题title,链接url,时间time,公众号名称
"2650687089_1","固强链 焕新能，临港新片区举办重大产业项目集中签约活动","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687089&idx=1&sn=ab79230bc2274076bc9a19a687c3daa1&chksm=be4802e7893f8bf166952ea9793563b772c5db50cb2b7cb2187a68e01f5f60a586eed330eb86#rd","1755656812","上海经信委"
"2650687089_2","《上海市加快推动“AI+制造”发展的实施方案》公布，培育“AI超级员工”赋能上海制造","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687089&idx=2&sn=d6483b4141baa8932b88e46c9963678e&chksm=be4802e7893f8bf19a082afd0cf4484ddd8be65270aafb2bc88aed2eada3304c24789a385435#rd","1755656812","上海经信委"
"2650687079_1","AI挺进主战场！在超严肃制造领域打造“靠谱人设”，上海发力了","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687079&idx=1&sn=53a20882f6e7cbb28c1ab29279602db5&chksm=be4802f1893f8be7b7af0924cda21edb26c3047852ad548d6fddfcbe585d1fcd00d15afbecbb#rd","1755599384","上海经信委"
"2650687079_2","以智赋链、以云聚能，打造3D打印新型制造体系|工赋上海·链主","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687079&idx=2&sn=add51abb801af30974e7445b2255c678&chksm=be4802f1893f8be77277e76a6bdb4856083ae9f8a59d59f9b76fbf6bc2cdf3d96379c15504e8#rd","1755599384","上海经信委"
"2650687078_1","关于印发《上海市加快推动“AI+制造”发展的实施方案》的通知","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687078&idx=1&sn=28a2f5e41d2b2fbc51e49946a8bf293e&chksm=be4802f0893f8be622ea8ca2bf5805694ab43c24d985abcb6a54c97369c33987d5c43a23c128#rd","1755592247","上海经信委"
"2650687078_2","《上海市加快推动“AI+制造”发展的实施方案》发布｜一图读懂","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687078&idx=2&sn=5f42dbb610b854e31882dce779612759&chksm=be4802f0893f8be60a555257c8a787bd9416d2a63534be434e713e2f45760d60442580dbc67e#rd","1755592247","上海经信委"
"2650687052_1","天使投资赋能创新生态——第二期“投资促进大讲堂”成功举办","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687052&idx=1&sn=b70a95c949972dc337b83d716dffa1e2&chksm=be4802da893f8bcc9efa91d91251478a3f2d9589140bec0111a03b5342c693cad5fc3fbdd410#rd","1755579778","上海经信委"
"2650687046_1","上海市政府与华润集团在沪签署战略合作协议！陈吉宁龚正会见王祥明王崔军","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687046&idx=1&sn=35f629f2d47b4b41bdea87ae273f38c1&chksm=be4802d0893f8bc691afe7e4ed88c51b81bf1e60e800901d7b5b7c7bffc578eb77dc75b9f891#rd","1755565414","上海经信委"
"2650687042_1","75年后，图灵设想成真！央视这一次全网热议的AI测试如何诞生？","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687042&idx=1&sn=4bc9dec333d187a97a30ef3fd29f6db2&chksm=be4802d4893f8bc2a7f8dae9fdf4d8e6d4be122a3cdc5922c654c67cc97db5021ed4a58c0e3a#rd","1755510674","上海经信委"
"2650687042_2","“前滩东体元宇宙－元上东体” 打造城市体育+元宇宙标杆｜元启上海SHOW","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687042&idx=2&sn=4db05a96c5a96a5e667f7481a5b2071d&chksm=be4802d4893f8bc2f25b786f94e4a638bc3df359ee75edee855a6efc58c6a4058a831e1f045c#rd","1755510674","上海经信委"
"2650687042_3","数字调峰战：超大城市“隐秘”电厂的崛起！","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650687042&idx=3&sn=a12489b84f75218891a5f4aeabba661b&chksm=be4802d4893f8bc2ef2dfb2d3fed19b0680015e78486aaa919741dd02eba66389fdbf613c960#rd","1755510674","上海经信委"
"2650686993_1","《上海市进一步扩大人工智能应用的若干措施》政策解读","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686993&idx=1&sn=658e0b4f8475ae50427270c840003364&chksm=be480287893f8b911b191e31eb790ae173e46fe7ff05e6794963bd060a36a1c0913f5925520e#rd","1755489977","上海经信委"
"2650686987_1","上海经信一周要闻（8月10日-8月16日）","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686987&idx=1&sn=768c2df972e49742de675a952ac76cc4&chksm=be48029d893f8b8bff5b2676c32662673d47b39e0a44f16f65405e4a35e9ccfe5ce79958a2d9#rd","1755342082","上海经信委"
"2650686983_1","镭慎光电张佩：微米之间用创新刻下“中国精度”｜勇立创新潮头·上海产业菁英","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686983&idx=1&sn=9956774db8a900c16999119c00f34cfe&chksm=be480291893f8b870a51555602e669a89ecd3f07f139e2e814b0cfcf2d83ac6002603337aad4#rd","1755250226","上海经信委"
"2650686983_2","一座甲子仓廪的护粮初心","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686983&idx=2&sn=d4fcd6fde9977ec9a91d7e099b1cdcec&chksm=be480291893f8b8763792abfca1e281993daa6dcd720f85cc512be4f27acb0f44febe0dc52f3#rd","1755250226","上海经信委"
