文章标识符aid,标题title,链接url,时间time
"2650686866_1","关于开展上海青年创意设计人才“U35计划”申报工作的通知","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686866&idx=1&sn=a67e5e0d13265ec33d7dbce135c1d329&chksm=be480104893f88121d779bde1eb0d76b42a1607f424ffdb2c28cd460ed3b573d2bdd0031461c#rd","1754629066"
"2650686864_1","上半年上海落地项目总投资6791亿元，雷克萨斯项目预计本土化率超95%","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686864&idx=1&sn=fb0c660dbc753e6a037aef0414c72e6f&chksm=be480106893f88107272f4e13387ba47396cba122391ec0053e716c9bdb5a050117b6a7147f3#rd","1754562213"
"2650686864_2","关于开展2025“上海品牌100+（时尚消费品）”评价申报工作的通知","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686864&idx=2&sn=c862b4436673b6dc12afe9bea7dc0ea7&chksm=be480106893f8810244b0954dab52195838eb53f3dac2220befea30b99e5aa7c9942f58b44ce#rd","1754562213"
"2650686859_1","中国为全球人工智能发展注入“东方智慧”","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686859&idx=1&sn=2183a05369b8f29ad653d2fff54ff65b&chksm=be48011d893f880b109d684356a4ad44546734735175d1901091f2eb4019eb744bdb09a43576#rd","1754542952"
"2650686859_2","“沪航”AI三剑客破局航天制造与科研｜工赋上海·AI+制造","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686859&idx=2&sn=022d86adc14585e2a66d85a96040bd3b&chksm=be48011d893f880b7afab5eafb8566ef3e1894b706676a7c9483eb77e81c62e03a3c8564ce6c#rd","1754542952"
"2650686841_1","经信工会送清凉 心系粮安保国储","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686841&idx=1&sn=7246605aa2bcd51e78218f370f1d72a1&chksm=be4801ef893f88f9ff20d36a501a9b5502fd421609e9d2c67b4ca42909e4230ac321c20bb4af#rd","1754482741"
"2650686841_2","平台经济×海派文化×新型工业=？工博会给你答案！媒体报名通道开启 ｜2025工博会","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686841&idx=2&sn=abe50b9ad96dd6d5a31d66d037dac42d&chksm=be4801ef893f88f9073575d6b4f9c83b85009a2c17134d8ab3e65d8b696ffa3bfa829f5853e7#rd","1754482741"
"2650686841_3","总体进度超80%！第二艘国产大型邮轮建造全面进入设备调试阶段","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686841&idx=3&sn=242efefc79fac007fe2e08003aa2ce0f&chksm=be4801ef893f88f9d5946ace8222aa111b9252383c60612244dd1d113445658e3143a575d04a#rd","1754482741"
"2650686836_1","上海市人民政府办公厅关于印发《上海市具身智能产业发展实施方案》的通知","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686836&idx=1&sn=9bc07aeaa6a74b9514b0f32914844fd5&chksm=be4801e2893f88f440c48f43814d291f93bc941f1a8c772c59757b54f3abafe1cc2e8088567d#rd","1754449719"
"2650686836_2","《上海市具身智能产业发展实施方案》解读｜一图读懂","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686836&idx=2&sn=bc740c3556dc2b20ba76f428e1c00590&chksm=be4801e2893f88f4d767802608f531f7e0c701d9b3a20b054b8badcf1f1d8763eaa61ce448f3#rd","1754449719"
"2650686836_3","上海加速构筑具身智能产业优势","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686836&idx=3&sn=d0e54000c74e9542ccc4591a958e0de2&chksm=be4801e2893f88f481adc0ac280218d054195f69f2cc5c45948ec2f431dc874798a28ea98738#rd","1754449719"
"2650686810_1","杭州湾区域首个低空5G-A网络在沪正式启用","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686810&idx=1&sn=245c43e68288e2b3dc5e4f88eaddd54d&chksm=be4801cc893f88dae0e36b857f51b0d4e008c700e55e3308087c5b4548fd1c55adb5f7a826e7#rd","1754387041"
"2650686810_2","重点企业“服务包”政策大讲堂第四期顺利举办","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686810&idx=2&sn=9e17dc3795b0dd56628951e01124f515&chksm=be4801cc893f88da025ee16b294bd40c476483843824c1249c0a1cdbd2b25472a2579ba4280f#rd","1754387041"
"2650686810_3","中共一大纪念馆“数字一大”——打造“数字世界中的中国共产党人精神家园”！ | 元启上海SHOW","http://mp.weixin.qq.com/s?__biz=MjM5MDU2MTc4NQ==&mid=2650686810&idx=3&sn=643afb120ff9f448fdba24207958488f&chksm=be4801cc893f88dacff7b8bf7cec48a39a877e6c5a57d91434f7fc227fcc4c09e14b37f4a6f0#rd","1754387041"
